"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"kiwi";2;"LOGO";;;
2;"FID6,FID4,FID5,FID3,FID2,FID1";"Fiducial_1mm_Dia_2mm_Outer";6;"Fiducial";;;
3;"P5,P2";"USB-Mini-B-SMD";2;"UJ2-MBH-1-SMT";;;
4;"D21,D16,D23,D14,D20,D22,D19,D24,D17,D15,D13,D18,D2,D8,D6,D12,D3,D7,D10,D4,D9,D11,D5,D1";"SOT-23";24;"BAV70";;;
5;"R7,R8,R5,R4";"R_0603";4;"22R";;;
6;"SW40,SW36,SW41,SW43,SW44,SW42,SW45,SW43,SW35,SW28,SW34,SW48,SW47,SW33,SW39,SW32,SW26,SW29,SW46,SW30,SW38,SW27,SW31,SW25,SW37,SW19,SW12,SW21,SW23,SW24,SW24,SW6,SW15,SW4,SW5,SW13,SW20,SW1,SW22,SW16,SW17,SW8,SW10,SW11,SW7,SW9,SW18,SW2,SW14,SW3";"Kailh-socket";50;"Socket";;;
7;"Y2,Y1";"Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm";2;"16MHz";;;
8;"P6,P3";"SMD_PAD_1x03_Pitch2.54mm";2;">WS2812";;;
9;"P8,P4";"SJ-4351X-SMT";2;"SJ-43514-SMT";;;
10;"J8,J7";"Pin_Header_Straight_1x01_Pitch2.54mm";2;"WS2812>";;;
11;"C6,C7,C2,C3";"C_0603";4;"18pF";;;
12;"C5,C8,C1,C4";"C_0603";4;"1uF";;;
13;"REF**,REF**,REF**,REF**,REF**,REF**";"1pin";6;"1pin";;;
14;"U2,U1";"QFN44G-0.5-7X7MM";2;"ATMega32U4";;;
15;"R10,R3";"R_0603";2;"200R";;;
16;"R9,R1,R2,R6";"R_0603";4;"4k7";;;
17;"J6,J3";"Pin_Header_Straight_2x03_Pitch2.54mm";2;"ISP";;;
18;"J5,J1";"Buzzer_12x9.5RM7.6";2;"Speaker";;;
19;"G***,G***";"NovelKeys";2;"LOGO";;;
20;"JP1,JP2";"Solder-jumper-NO";2;"I2C pullup";;;
