Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"SW2,SW9,SW18,SW7,SW11,SW10,SW13,SW16,SW22,SW19,SW12,SW21,SW23,SW24,SW6,SW15,SW8,SW1,SW17,SW14,SW3,SW4,SW5,SW20,SW47,SW48,SW45,SW35,SW40,SW28,SW34,SW30,SW38,SW27,SW33,SW39,SW32,SW31,SW25,SW26,SW29,SW46,SW36,SW41,SW37,SW43,SW44,SW42,SW24,SW43",Kailh-socket,50,Socket,
2,"D2,D8,D6,D12,D3,D7,D10,D4,D9,D11,D5,D1,D19,D24,D17,D15,D13,D18,D23,D14,D20,D22,D21,D16",SOT-23,24,BAV70,
3,"R1,R2,R6,R9",R_0603,4,4k7,
4,"R5,R4,R7,R8",R_0603,4,22R,
5,"U1,U2",QFN44G-0.5-7X7MM,2,ATMega32U4,
6,"P4,P8",SJ-4351X-SMT,2,SJ-43514-SMT,
7,"C3,C2,C7,C6",C_0603,4,18pF,
8,"D25,D26",D_SMA,2,SS210ATR,
9,"C4,C1,C8,C5",C_0603,4,1uF,
10,R3,R_0603,1,220R,
11,"Y1,Y2",Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm,2,16MHz,
12,"R11,R12",R_0603_1608Metric,2,4k7,
13,R10,R_0603,1,200R,
14,"J9,J10",USB_C_Receptacle_Amphenol_12401610E4-2A,2, 12401598E4#2A ,
