Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",51.334000,-8.389000,270.000000,bottom
"C2","18pF","C_0603_1608Metric",68.000000,-12.750000,90.000000,bottom
"C3","18pF","C_0603_1608Metric",68.000000,-8.770000,90.000000,bottom
"C4","1uF","C_0603_1608Metric",56.668000,-4.350400,270.000000,bottom
"C5","1uF","C_0603_1608Metric",148.409000,-8.627000,270.000000,bottom
"C6","18pF","C_0603_1608Metric",165.750000,-12.250000,90.000000,bottom
"C7","18pF","C_0603_1608Metric",165.750000,-9.000000,90.000000,bottom
"C8","1uF","C_0603_1608Metric",153.743000,-4.588400,270.000000,bottom
"D1","BAV70","SOT-23",28.832000,-26.042000,270.000000,bottom
"D2","BAV70","SOT-23",65.281000,-25.915000,270.000000,bottom
"D3","BAV70","SOT-23",89.284000,-25.788000,270.000000,bottom
"D4","BAV70","SOT-23",19.307000,-44.965000,270.000000,bottom
"D5","BAV70","SOT-23",57.407000,-44.838000,270.000000,bottom
"D6","BAV70","SOT-23",94.999000,-44.838000,270.000000,bottom
"D7","BAV70","SOT-23",27.181000,-64.015000,270.000000,bottom
"D8","BAV70","SOT-23",57.026000,-64.015000,270.000000,bottom
"D9","BAV70","SOT-23",89.538000,-64.142000,270.000000,bottom
"D10","BAV70","SOT-23",19.053000,-76.207000,270.000000,bottom
"D11","BAV70","SOT-23",57.153000,-76.207000,270.000000,bottom
"D12","BAV70","SOT-23",76.076000,-76.207000,270.000000,bottom
"D13","BAV70","SOT-23",144.910000,-25.788000,270.000000,bottom
"D14","BAV70","SOT-23",181.994000,-25.788000,270.000000,bottom
"D15","BAV70","SOT-23",206.085000,-24.988000,270.000000,bottom
"D16","BAV70","SOT-23",135.512000,-44.965000,270.000000,bottom
"D17","BAV70","SOT-23",174.247000,-44.965000,270.000000,bottom
"D18","BAV70","SOT-23",205.235000,-44.965000,270.000000,bottom
"D19","BAV70","SOT-23",144.275000,-64.269000,270.000000,bottom
"D20","BAV70","SOT-23",173.358000,-64.269000,270.000000,bottom
"D21","BAV70","SOT-23",204.981000,-64.269000,270.000000,bottom
"D22","BAV70","SOT-23",153.673000,-76.334000,270.000000,bottom
"D23","BAV70","SOT-23",173.358000,-76.207000,270.000000,bottom
"D24","BAV70","SOT-23",211.458000,-76.207000,270.000000,bottom
"D25","SS210ATR","D_SMA",21.800000,-13.600000,0.000000,bottom
"D26","SS210ATR","D_SMA",204.600000,-12.850000,0.000000,bottom
"FID1","Fiducial","Fiducial_1mm_Dia_2mm_Outer",5.000000,-46.000000,0.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Dia_2mm_Outer",109.250000,-26.500000,0.000000,bottom
"FID3","Fiducial","Fiducial_1mm_Dia_2mm_Outer",121.250000,-46.000000,0.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Dia_2mm_Outer",225.500000,-26.500000,0.000000,bottom
"J9"," 12401598E4#2A ","USB_C_Receptacle_Amphenol_12401610E4-2A",29.600000,-4.350000,0.000000,bottom
"J10"," 12401598E4#2A ","USB_C_Receptacle_Amphenol_12401610E4-2A",200.900000,-4.350000,0.000000,bottom
"P4","SJ-43514-SMT","SJ-4351X-SMT",95.192500,-8.878000,270.000000,bottom
"P8","SJ-43514-SMT","SJ-4351X-SMT",135.307500,-8.878000,270.000000,bottom
"R1","4k7","R_0603_1608Metric",75.146500,-33.916000,270.000000,bottom
"R2","4k7","R_0603_1608Metric",77.559500,-33.916000,270.000000,bottom
"R3","220R","R_0603_1608Metric",57.684000,-20.200000,270.000000,bottom
"R4","22R","R_0603_1608Metric",50.612500,-5.404500,-0.000000,bottom
"R5","22R","R_0603_1608Metric",50.612500,-3.880500,-0.000000,bottom
"R6","4k7","R_0603_1608Metric",61.979000,-5.087000,-0.000000,bottom
"R7","22R","R_0603_1608Metric",180.978000,-3.436000,180.000000,bottom
"R8","22R","R_0603_1608Metric",180.978000,-4.960000,180.000000,bottom
"R9","4k7","R_0603_1608Metric",159.134000,-5.595000,-0.000000,bottom
"R10","220R","R_0603_1608Metric",162.182000,-26.423000,-0.000000,bottom
"R11","220R","R_0603_1608Metric",49.500000,-13.600000,-0.000000,bottom
"R12","220R","R_0603_1608Metric",145.150000,-13.750000,180.000000,bottom
"R13","220R","R_0603_1608Metric",50.700000,-15.800000,90.000000,bottom
"R14","220R","R_0603_1608Metric",155.100000,-22.600000,270.000000,bottom
"SW1","Socket","Kailh-socket",9.500000,-16.850000,0.000000,bottom
"SW2","Socket","Kailh-socket",28.550000,-16.850000,0.000000,bottom
"SW3","Socket","Kailh-socket",47.600000,-16.850000,0.000000,bottom
"SW4","Socket","Kailh-socket",66.650000,-16.850000,0.000000,bottom
"SW5","Socket","Kailh-socket",85.700000,-16.850000,0.000000,bottom
"SW6","Socket","Kailh-socket",104.750000,-16.850000,0.000000,bottom
"SW7","Socket","Kailh-socket",9.500000,-35.900000,0.000000,bottom
"SW8","Socket","Kailh-socket",28.550000,-35.900000,0.000000,bottom
"SW9","Socket","Kailh-socket",47.600000,-35.900000,0.000000,bottom
"SW10","Socket","Kailh-socket",66.650000,-35.900000,0.000000,bottom
"SW11","Socket","Kailh-socket",85.700000,-35.900000,0.000000,bottom
"SW12","Socket","Kailh-socket",104.750000,-35.900000,0.000000,bottom
"SW13","Socket","Kailh-socket",9.500000,-54.950000,0.000000,bottom
"SW14","Socket","Kailh-socket",28.550000,-54.950000,0.000000,bottom
"SW15","Socket","Kailh-socket",47.600000,-54.950000,0.000000,bottom
"SW16","Socket","Kailh-socket",66.650000,-54.950000,0.000000,bottom
"SW17","Socket","Kailh-socket",85.700000,-54.950000,0.000000,bottom
"SW18","Socket","Kailh-socket",104.750000,-54.950000,0.000000,bottom
"SW19","Socket","Kailh-socket",9.500000,-74.000000,180.000000,bottom
"SW20","Socket","Kailh-socket",28.550000,-74.000000,180.000000,bottom
"SW21","Socket","Kailh-socket",47.600000,-74.000000,180.000000,bottom
"SW22","Socket","Kailh-socket",66.650000,-74.000000,180.000000,bottom
"SW23","Socket","Kailh-socket",85.700000,-74.000000,180.000000,bottom
"SW24","Socket","Kailh-socket",104.750000,-74.000000,180.000000,bottom
"SW24","Socket","Kailh-socket",95.225000,-74.000000,0.000000,bottom
"SW25","Socket","Kailh-socket",125.750000,-16.850000,0.000000,bottom
"SW26","Socket","Kailh-socket",144.800000,-16.850000,0.000000,bottom
"SW27","Socket","Kailh-socket",163.850000,-16.850000,0.000000,bottom
"SW28","Socket","Kailh-socket",182.900000,-16.850000,0.000000,bottom
"SW29","Socket","Kailh-socket",201.950000,-16.850000,0.000000,bottom
