"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R11,R12,R13,R14";"R_0603_1608Metric";4;"4k7";;;
2;"G***,G***";"kiwi";2;"LOGO";;;
3;"SW2,SW9,SW18,SW7,SW11,SW10,SW13,SW16,SW22,SW19,SW12,SW21,SW23,SW24,SW6,SW15,SW8,SW1,SW17,SW14,SW3,SW4,SW5,SW20,SW47,SW48,SW45,SW35,SW40,SW28,SW34,SW30,SW38,SW27,SW33,SW39,SW32,SW31,SW25,SW26,SW29,SW46,SW36,SW41,SW37,SW43,SW44,SW42";"Kailh-socket";48;"Socket";;;
4;"D2,D8,D6,D12,D3,D7,D10,D4,D9,D11,D5,D1,D19,D24,D17,D15,D13,D18,D23,D14,D20,D22,D21,D16";"SOT-23";24;"BAV70";;;
5;"FID2,FID1,FID6,FID4,FID5,FID3";"Fiducial_1mm_Dia_2mm_Outer";6;"Fiducial";;;
6;"R1,R2,R6,R9";"R_0603";4;"4k7";;;
7;"JP1,JP2";"Solder-jumper-NO";2;"I2C pullup";;;
8;"R5,R4,R7,R8";"R_0603";4;"22R";;;
9;"G***,G***";"NovelKeys";2;"LOGO";;;
10;"U1,U2";"QFN44G-0.5-7X7MM";2;"ATMega32U4";;;
11;"P4,P8";"SJ-4351X-SMT";2;"SJ-43514-SMT";;;
12;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"1pin";8;"1pin";;;
13;"P3,P6";"SMD_PAD_1x03_Pitch2.54mm";2;">WS2812";;;
14;"C3,C2,C7,C6";"C_0603";4;"18pF";;;
15;"D25,D26";"D_SMA";2;"SS210ATR";;;
16;"J3,J6";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";2;"ISP";;;
17;"J2,J4";"PinHeader_1x02_P2.54mm_Vertical";2;"reset";;;
18;"J7,J8";"Pin_Header_Straight_1x01_Pitch2.54mm";2;"WS2812>";;;
19;"C4,C1,C8,C5";"C_0603";4;"1uF";;;
20;"J1,J5";"Buzzer_12x9.5RM7.6";2;"Speaker";;;
21;"R3";"R_0603";1;"220R";;;
22;"Y1,Y2";"Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm";2;"16MHz";;;
23;"SW24,SW43";"Kailh-socket";2;"Socket-overlap";;;
24;"R10";"R_0603";1;"200R";;;
25;"J9,J10";"USB_C_Receptacle_Amphenol_12401610E4-2A";2;" 12401598E4#2A ";;;
